PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.08000774;1.239505;-0.04421794
0.07860886;1.238277;-0.04314994
0.07760243;1.237587;-0.04211133
0.07712334;1.237045;-0.04154845
0.07669543;1.236978;-0.04121969
0.07562046;1.236749;-0.04059891
0.07518931;1.236571;-0.04061694
0.07437996;1.23668;-0.04066452
0.07395619;1.237134;-0.04048576
0.07334959;1.237729;-0.04047425
0.07350962;1.23813;-0.0407423
0.07350282;1.23912;-0.04077708
0.07340351;1.239792;-0.0405446
0.07322235;1.240492;-0.04024444
0.0730743;1.241247;-0.03962681
0.07305378;1.241534;-0.03931918
0.07335479;1.242432;-0.03923599
0.07336568;1.24248;-0.0392017
0.07342855;1.24242;-0.03950109
0.07362536;1.243059;-0.04002875
0.07401458;1.243171;-0.04147203
0.07451937;1.244036;-0.04236661
0.07461721;1.244323;-0.04256707
0.07458057;1.244452;-0.04264833
0.07476493;1.244103;-0.04258555
0.07494852;1.244383;-0.04296906
0.07530744;1.241281;-0.04178279
0.07537185;1.239956;-0.04100391
0.07565612;1.236869;-0.03922288
0.07574592;1.235034;-0.03818595
0.07566709;1.231015;-0.03551486
0.07548034;1.228963;-0.03376557
0.07524425;1.226848;-0.03193174
0.07475735;1.222288;-0.02826336
0.07440785;1.220112;-0.0260522
0.07350506;1.216465;-0.02052109
0.07285501;1.214894;-0.01725648
0.07146116;1.211532;-0.01075168
0.07073055;1.209933;-0.007444526
0.07001178;1.208628;-0.003936637
0.06830444;1.20665;0.003643414
0.06712222;1.206117;0.007576297
0.06499963;1.205233;0.01513741
0.06393454;1.205581;0.01892545
0.06215316;1.20696;0.02609649
0.06109118;1.208275;0.02950133
0.05906501;1.21234;0.03681657
0.05808475;1.215047;0.04061253
0.05726869;1.218039;0.04405179
0.05526732;1.225427;0.05077128
0.05425385;1.229938;0.05447145
0.05188555;1.239811;0.06307026
0.05072627;1.244955;0.06717137
0.04807557;1.256483;0.0745499
0.04667926;1.262859;0.07823563
0.04382809;1.276945;0.08585414
0.04262138;1.284131;0.08933663
0.0415118;1.291813;0.09232539
0.03934199;1.307756;0.09775912
