Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.00919711, 1.62597700, 0.08027167);7
0.16;(-0.00919711, 1.62597700, 0.08027167);8
0.18;(-0.00919711, 1.62597700, 0.08027167);9
0.2;(-0.00857682, 1.63340600, 0.06758409);10
0.22;(-0.00842591, 1.63546500, 0.06397166);11
0.24;(-0.00838173, 1.63646100, 0.06217572);12
0.26;(-0.00823613, 1.63836300, 0.05862844);13
0.28;(-0.00810564, 1.64014200, 0.05526733);14
0.3;(-0.00804267, 1.64173500, 0.05211668);15
0.32;(-0.00787878, 1.64315900, 0.04903799);16
0.34;(-0.00785364, 1.64386000, 0.04759594);17
0.36;(-0.00768905, 1.64502600, 0.04478378);18
0.38;(-0.00766715, 1.64608300, 0.04219932);19
0.4;(-0.00753461, 1.64711700, 0.03970489);20
0.42;(-0.00751259, 1.64763500, 0.03861507);21
0.44;(-0.00748423, 1.64863900, 0.03653767);22
0.46;(-0.00748669, 1.64947400, 0.03464772);23
0.48;(-0.00749895, 1.65000900, 0.03286740);24
0.5;(-0.00759634, 1.65048400, 0.03143763);25
0.52;(-0.00780112, 1.65098900, 0.03032354);26
0.54;(-0.00802342, 1.65122400, 0.02988314);27
0.56;(-0.00840238, 1.65142800, 0.02888144);28
0.58;(-0.00904214, 1.65144600, 0.02800159);29
0.6;(-0.00955433, 1.65137500, 0.02725933);30
0.62;(-0.01022771, 1.65141100, 0.02679377);31
0.64;(-0.01050679, 1.65150500, 0.02650579);32
0.66;(-0.01113137, 1.65148400, 0.02607891);33
0.68;(-0.01172127, 1.65140100, 0.02556523);34
0.7;(-0.01224666, 1.65140100, 0.02512614);35
0.72;(-0.01267332, 1.65128600, 0.02478351);36
0.74;(-0.01281656, 1.65125900, 0.02470656);37
0.76;(-0.01308938, 1.65125300, 0.02464832);38
0.78;(-0.01339534, 1.65123600, 0.02458351);39
0.8;(-0.01347812, 1.65132600, 0.02482502);40
0.82;(-0.01362476, 1.65154400, 0.02593519);41
0.84;(-0.01354237, 1.65134000, 0.02699465);42
0.86;(-0.01372205, 1.65080300, 0.02846579);43
0.88;(-0.01406014, 1.64909800, 0.03040073);44
0.9;(-0.01447244, 1.64591100, 0.03240420);45
