PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.04256742;1.70509;-0.1931518
0.04256742;1.70509;-0.1931518
0.04482279;1.705873;-0.1889598
0.04782913;1.705655;-0.1859758
0.05010367;1.705509;-0.1840774
0.05491254;1.707371;-0.1798567
0.0571636;1.705468;-0.1775739
0.06171554;1.710151;-0.174146
0.06381714;1.706222;-0.1726238
0.06728263;1.706422;-0.1709694
0.06837998;1.706948;-0.1700014
0.06927719;1.707215;-0.1690738
0.07040671;1.707768;-0.1681531
0.07046774;1.708147;-0.1679621
0.069454;1.70967;-0.1681222
0.06861824;1.709874;-0.1685569
0.06754542;1.709628;-0.1693291
0.06442124;1.712164;-0.1706083
0.06259998;1.711705;-0.1713424
0.05879463;1.714599;-0.1732564
0.05668264;1.715793;-0.1733552
0.05241583;1.715132;-0.1750045
0.05084961;1.715427;-0.176256
0.04907882;1.715816;-0.1773318
0.04548455;1.716818;-0.1786572
0.04408634;1.717154;-0.1792534
0.04166318;1.717537;-0.1799497
0.04062685;1.717744;-0.1800633
0.03920875;1.717986;-0.180239
0.03870166;1.718163;-0.1803311
0.03817386;1.718491;-0.1803659
0.03749395;1.718783;-0.1800734
0.03733955;1.71899;-0.1797799
0.03738301;1.719301;-0.1789988
0.03747904;1.719392;-0.1785139
0.03807454;1.719427;-0.1774853
0.03850663;1.719441;-0.1768684
0.03924326;1.719223;-0.1754654
0.03965404;1.719136;-0.1748011
0.04009098;1.718885;-0.1740524
0.04095417;1.718454;-0.1727014
0.04117711;1.718195;-0.171893
0.04136422;1.717605;-0.1698524
0.04140615;1.717368;-0.1687545
0.04136118;1.716463;-0.1661074
0.04131117;1.715796;-0.1642736
0.04125975;1.715256;-0.16244
0.04142622;1.713783;-0.1589531
0.04165795;1.713214;-0.1573236
0.04217494;1.712491;-0.1534834
0.04254936;1.712356;-0.1514145
0.04359504;1.711394;-0.1480293
0.04436382;1.711171;-0.1468575
0.04583924;1.711097;-0.14427
0.04681998;1.71102;-0.1433461
0.04765278;1.710888;-0.142588
0.04916095;1.710916;-0.1414364
0.0498303;1.710988;-0.1410407
0.05117899;1.710626;-0.1402484
