PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.05120925;1.19566;-0.02423902
0.0472182;1.118524;-0.01522178
0.04619772;1.094613;-0.0129896
0.04532677;1.071303;-0.01113063
0.0426722;1.029733;-0.008559328
0.04121231;1.009334;-0.007554144
0.03898373;0.9713313;-0.00607506
0.03804874;0.9534269;-0.005314276
0.03681393;0.9378287;-0.004862553
0.03447874;0.9067419;-0.003647439
0.03352529;0.8944938;-0.003458253
0.03119682;0.8714799;-0.002089583
0.02990094;0.8626108;-0.001663088
0.02807089;0.8513464;-0.0006520371
0.02708926;0.8478751;0.0004779976
0.02620437;0.8462939;0.002288949
0.02461014;0.8488398;0.005680994
0.02352174;0.8510982;0.007308961
0.02153247;0.8586887;0.01044601
0.02072938;0.8628671;0.01237041
0.01851338;0.8730709;0.01596371
0.017317;0.8778444;0.01770369
0.01626519;0.8826525;0.01926085
0.01465693;0.8907457;0.02201822
0.01390327;0.894305;0.0232065
0.0128014;0.8997951;0.02508312
0.01244291;0.9019446;0.02577035
0.01203523;0.9043549;0.02632973
0.01192874;0.9047959;0.02631484
0.01187275;0.9044747;0.02601182
0.01191507;0.9020641;0.02498576
0.01226189;0.8996912;0.02392123
0.01314763;0.8934013;0.02100803
0.01356303;0.8895088;0.01952593
0.01457703;0.8801649;0.01614052
0.01521715;0.8745981;0.01427295
0.0166944;0.8631394;0.01056466
0.01735513;0.8577757;0.008897468
0.01823328;0.8527694;0.007203543
0.02004043;0.8448902;0.003896192
0.02085497;0.84266;0.002439868
0.02233975;0.8446994;4.340732E-05
0.0233521;0.8487117;-0.0006234082
0.02502145;0.8635591;-0.0009455223
0.02577491;0.8733293;-0.0006378528
0.02673884;0.8842532;-0.000374876
0.02836686;0.9106475;0.0005093673
0.02944192;0.9244297;0.001209695
0.03162646;0.9535322;0.002781278
0.03284144;0.968748;0.003360853
0.03429223;0.9841684;0.003805859
0.03676706;1.01707;0.004496272
0.03897772;1.053756;0.005274403
0.03986899;1.072579;0.005558612
0.04081124;1.091175;0.005537716
0.04263388;1.129235;0.00481286
0.04349007;1.148449;0.004399342
0.04510085;1.186419;0.003907997
