PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.08287804;1.724718;-0.3051096
0.08287804;1.724718;-0.3051096
0.08248814;1.724531;-0.3048413
0.08218924;1.724412;-0.3047433
0.08193994;1.724175;-0.3045443
0.08180725;1.724058;-0.3044406
0.08168057;1.723964;-0.3043733
0.08144468;1.72384;-0.3042123
0.08136398;1.723861;-0.3040419
0.08117412;1.723892;-0.3037869
0.08103656;1.723936;-0.3037378
0.08079228;1.723978;-0.3036233
0.08066839;1.723943;-0.3034337
0.08055896;1.723894;-0.303245
0.08027342;1.723757;-0.3028744
0.08010706;1.723678;-0.3026576
0.07974907;1.72358;-0.3021496
0.079573;1.723523;-0.30187
0.07945041;1.723439;-0.3016428
0.07923508;1.723189;-0.3011806
0.07909949;1.72312;-0.300945
0.07876518;1.722997;-0.3003027
0.07857229;1.722929;-0.3000747
0.07824948;1.722704;-0.2996099
0.07802271;1.722556;-0.2992274
0.07769822;1.722322;-0.2985148
0.07748044;1.722223;-0.2982109
0.07732502;1.722184;-0.2979847
0.07688373;1.721811;-0.297253
0.07665115;1.721651;-0.2968474
0.07628961;1.721572;-0.2962831
0.07599104;1.721565;-0.2959303
0.07560006;1.721581;-0.2951781
0.07528489;1.721579;-0.294821
0.07505467;1.72156;-0.2944873
0.07461301;1.721513;-0.2938122
0.0744153;1.721421;-0.2933146
0.07411845;1.721231;-0.2921516
0.0738835;1.721196;-0.2915495
0.07361381;1.721137;-0.2899411
0.07379884;1.721076;-0.2888181
0.07411184;1.720857;-0.2874614
0.07500124;1.721444;-0.2842145
0.07518382;1.721667;-0.2819324
0.07593046;1.722372;-0.2767916
0.07635416;1.722101;-0.2737396
0.07656587;1.72088;-0.2669353
0.07653899;1.719814;-0.2631488
0.07639174;1.717958;-0.2589642
0.07583189;1.710928;-0.2500979
0.07538422;1.705018;-0.2454178
0.07454534;1.688658;-0.2358099
0.07401512;1.678275;-0.2308411
0.07316782;1.651264;-0.2209448
0.0727122;1.635424;-0.2160008
0.07159669;1.60079;-0.2056202
0.07065314;1.582668;-0.2001295
0.06966994;1.563938;-0.1945808
0.06747203;1.522985;-0.1830056
