Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.00251183, 1.24080400, -0.01755260);7
0.16;(-0.00251183, 1.24080400, -0.01755260);8
0.18;(-0.00267410, 1.24047700, -0.01689753);9
0.2;(-0.00270374, 1.24036800, -0.01669378);10
0.22;(-0.00276762, 1.24017800, -0.01629649);11
0.24;(-0.00279517, 1.23996600, -0.01576030);12
0.26;(-0.00283893, 1.23969900, -0.01502045);13
0.28;(-0.00286395, 1.23927400, -0.01443037);14
0.3;(-0.00287914, 1.23907200, -0.01414018);15
0.32;(-0.00298340, 1.23861600, -0.01351324);16
0.34;(-0.00310440, 1.23825400, -0.01285538);17
0.36;(-0.00328024, 1.23784900, -0.01217428);18
0.38;(-0.00347230, 1.23758700, -0.01149235);19
0.4;(-0.00364116, 1.23748500, -0.01114957);20
0.42;(-0.00393581, 1.23736600, -0.01050611);21
0.44;(-0.00425772, 1.23748100, -0.00989284);22
0.46;(-0.00476830, 1.23756000, -0.00921557);23
0.48;(-0.00509884, 1.23776300, -0.00891724);24
0.5;(-0.00612003, 1.23812000, -0.00823884);25
0.52;(-0.00782612, 1.23823200, -0.00769070);26
0.54;(-0.00972636, 1.23844400, -0.00738606);27
0.56;(-0.01162712, 1.23842600, -0.00711930);28
0.58;(-0.01271218, 1.23836900, -0.00703133);29
0.6;(-0.01530679, 1.23826000, -0.00693210);30
0.62;(-0.01792307, 1.23801600, -0.00681526);31
0.64;(-0.02045763, 1.23764700, -0.00675996);32
0.66;(-0.02284756, 1.23708600, -0.00665929);33
0.68;(-0.02512961, 1.23632700, -0.00665155);34
0.7;(-0.02596161, 1.23610600, -0.00682609);35
0.72;(-0.02759871, 1.23575100, -0.00687262);36
0.74;(-0.02884069, 1.23559500, -0.00690144);37
0.76;(-0.03004733, 1.23545100, -0.00695723);38
0.78;(-0.03086182, 1.23508900, -0.00730535);39
0.8;(-0.03118980, 1.23500400, -0.00747863);40
0.82;(-0.03167032, 1.23479600, -0.00776831);41
0.84;(-0.03197965, 1.23457600, -0.00797780);42
0.86;(-0.03195179, 1.23414100, -0.00828187);43
0.88;(-0.03176042, 1.23364900, -0.00862287);44
0.9;(-0.03167968, 1.23351400, -0.00875869);45
